input_vars,model,train_corr,test_corr,train_mae,test_mae,train_r2,test_r2
['t2m'],LinearRegression,0.26051600672582614,0.2733640579545462,1.6083103371581415,1.606733246129254,0.06786858976037091,0.07426162758348587
['t2m'],Ridge,0.2605160067258261,0.2733640579545464,1.608310603891705,1.606733658445669,0.06786858974889143,0.07426152746881864
['t2m'],RandomForestRegressor,0.7718591452741289,0.6913241658792728,0.9806080737883611,1.1022107907507401,0.5942295712234723,0.4757846180314653
['t2m'],XGBRegressor,0.5337324935611227,0.5158988846818326,1.352466946262868,1.3689594264288525,0.28424073955814966,0.26605213782965753
['t2m'],ANN,0.3147915310191291,0.31676257339880765,1.5735070118766705,1.57910009797413,0.09861155831953139,0.09973972620605254
"['t2m', 'tp']",LinearRegression,0.26242745967707537,0.2799135670297865,1.607832449797318,1.6030080787020375,0.0688681715925632,0.07776494714244686
"['t2m', 'tp']",Ridge,0.26242745967705056,0.27991355063454143,1.6078327130695171,1.6030085540766745,0.0688681715807099,0.07776480772032413
"['t2m', 'tp']",RandomForestRegressor,0.7749234573271475,0.7080455808796974,0.9715246866249799,1.0835434233239778,0.5993076053025614,0.5007010625249444
"['t2m', 'tp']",XGBRegressor,0.7401144661783533,0.6806759476203126,1.0665230688736924,1.1437468615283266,0.5370541867850667,0.4611375164065008
"['t2m', 'tp']",ANN,0.4698431826395997,0.4647986048081075,1.4514989453311289,1.4550248444755796,0.21563610700258717,0.21319334135697254
"['t2m', 'tp', 'str']",LinearRegression,0.32057781077535785,0.342306526788814,1.5651575501742814,1.5594381625221037,0.10277013276152114,0.11611782286896466
"['t2m', 'tp', 'str']",Ridge,0.3205778106819873,0.3423060604986765,1.5651583154152982,1.5594394308716384,0.10277013264292212,0.11611712135342078
"['t2m', 'tp', 'str']",RandomForestRegressor,0.7757911514355711,0.7154608776071423,0.9711592686162329,1.0788955634764317,0.6005603274126261,0.5116679043594581
"['t2m', 'tp', 'str']",XGBRegressor,0.757474522978112,0.7088310283516446,1.0253041563180496,1.1023385720035161,0.5672111005761188,0.5009640078629766
"['t2m', 'tp', 'str']",ANN,0.6337025850814774,0.6097295918241432,1.2287200368453883,1.2525797626444026,0.4013833962986756,0.3710117303709194
"['t2m', 'tp', 'str', 'sshf']",LinearRegression,0.35485339011191586,0.37965084652248193,1.5382898872320376,1.5337617198346456,0.12592092847391967,0.14327829640758327
"['t2m', 'tp', 'str', 'sshf']",Ridge,0.3548533900703114,0.37965066280019033,1.5382902219774588,1.5337622861620956,0.1259209284273567,0.1432779649338587
"['t2m', 'tp', 'str', 'sshf']",RandomForestRegressor,0.7759282315941399,0.7184243948801319,0.9705329857876213,1.0739439273161513,0.6006654072041044,0.5160055978980724
"['t2m', 'tp', 'str', 'sshf']",XGBRegressor,0.7631410945055705,0.7117843177253498,1.0085849246189962,1.0978744472857356,0.57756146351364,0.5057455804017044
"['t2m', 'tp', 'str', 'sshf']",ANN,0.6562635026030491,0.6358568947639447,1.1856886979481818,1.2085563123298873,0.430676123284115,0.40396260206142853
"['t2m', 'tp', 'str', 'sshf', 'ssrd']",LinearRegression,0.36246190496532166,0.3892815335204083,1.5306212621659112,1.5253703956932716,0.13137863255108995,0.15053130296899397
"['t2m', 'tp', 'str', 'sshf', 'ssrd']",Ridge,0.362461904146841,0.38928068915191266,1.5306224622617275,1.5253727020334094,0.1313786318524771,0.1505301490237786
"['t2m', 'tp', 'str', 'sshf', 'ssrd']",RandomForestRegressor,0.7759435825425715,0.7197080227511424,0.9699896522011792,1.0720046288704705,0.6006917974679484,0.5178933415885327
"['t2m', 'tp', 'str', 'sshf', 'ssrd']",XGBRegressor,0.7689061050633416,0.7149815823214318,0.9941755925061276,1.0863581003151048,0.5872014741508017,0.5106067860512967
"['t2m', 'tp', 'str', 'sshf', 'ssrd']",ANN,0.697727629300059,0.648278131646854,1.1216362658408499,1.1814604252178327,0.48666992947830334,0.41795937246698
"['t2m', 'tp', 'str', 'sshf', 'ssrd', 'fal']",LinearRegression,0.3628103657876697,0.3894005567426783,1.5312132149472584,1.5261017358923277,0.13163136152298283,0.15061581858789097
"['t2m', 'tp', 'str', 'sshf', 'ssrd', 'fal']",Ridge,0.362810222501292,0.3893936526180971,1.5312150025582236,1.5261116213499017,0.1316312447137692,0.1506050241478265
"['t2m', 'tp', 'str', 'sshf', 'ssrd', 'fal']",RandomForestRegressor,0.778498097723971,0.725166948665328,0.9578063628704802,1.0550657953602933,0.6054020104939974,0.5256499606918891
"['t2m', 'tp', 'str', 'sshf', 'ssrd', 'fal']",XGBRegressor,0.7723471564290114,0.7226827648890753,0.9804861545227583,1.059055276819873,0.594127487062577,0.5221575446756548
"['t2m', 'tp', 'str', 'sshf', 'ssrd', 'fal']",ANN,0.7015876176164827,0.6785959206853085,1.1190828293060964,1.150675804462382,0.490745867425325,0.4589850607565935
"['t2m', 'tp', 'str', 'sshf', 'ssrd', 'fal', 'POINT_ELEVATION']",LinearRegression,0.6959800367503746,0.6929823997541203,1.1322711877868321,1.164784378318293,0.48438821155505274,0.47994195807942586
